scene,block_type,condition,question_SPAN,yes_prop (clean_data) TFM,yes_prop (trial_data) TFM,RT_median_by_question (trial_data) TFM,RT_p_by_scenario (trial_data) TFM,MAD_by_question TFM,MAD_p_by_scenario TFM,AUC_by_question TFM,AUC_p_by_scenario TFM,text_violation,purpose_violation,congruency,origin_ENGL,rule_ENGL,question_ENGL,character_count_ENGL,origin_SPAN,rule_SPAN,question_SPAN.1,character_count_SPAN,audio_file
authorisation,experimental,core,Un científico amateur entra en el laboratorio para hacer fotografías.,43.59%,100.00%,,,419.4789,0.068973,107939.3,0.711433,1,1,congruent,A careless member of the public caused an accident in a scientific laboratory.,"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".",An amateur scientist enters the laboratory to take photographs.,63,Un ciudadano descuidado provocó un accidente en un laboratorio científico.,"Para evitar accidentes, el director del laboratorio estableció la siguiente regla: ""Acceso exclusivo para el personal del laboratorio"".",Un científico amateur entra en el laboratorio para hacer fotografías.,,audio/sentence_0.wav
authorisation,experimental,core,Un estudiante entra en el laboratorio para observar el trabajo de los científicos.,75.64%,100.00%,,,424.615,0.068973,115838.0,0.711433,1,1,congruent,A careless member of the public caused an accident in a scientific laboratory.,"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".",A student enters the laboratory to observe the scientists' work.,64,Un ciudadano descuidado provocó un accidente en un laboratorio científico.,"Para evitar accidentes, el director del laboratorio estableció la siguiente regla: ""Acceso exclusivo para el personal del laboratorio"".",Un estudiante entra en el laboratorio para observar el trabajo de los científicos.,,audio/sentence_1.wav
authorisation,experimental,core,Un ladrón entra en el laboratorio por la noche para buscar y robar material.,98.72%,100.00%,,,297.8848,0.068973,84110.38,0.711433,1,1,congruent,A careless member of the public caused an accident in a scientific laboratory.,"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".",A thief enters the laboratory overnight to find and steal equipment.,68,Un ciudadano descuidado provocó un accidente en un laboratorio científico.,"Para evitar accidentes, el director del laboratorio estableció la siguiente regla: ""Acceso exclusivo para el personal del laboratorio"".",Un ladrón entra en el laboratorio por la noche para buscar y robar material.,,audio/sentence_2.wav
authorisation,experimental,off,Un científico que trabaja en el laboratorio inicia un nuevo experimento.,6.41%,0.00%,,,392.5727,0.068973,95160.85,0.711433,0,0,congruent,A careless member of the public caused an accident in a scientific laboratory.,"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".",A scientist working at the laboratory starts a new experiment.,62,Un ciudadano descuidado provocó un accidente en un laboratorio científico.,"Para evitar accidentes, el director del laboratorio estableció la siguiente regla: ""Acceso exclusivo para el personal del laboratorio"".",Un científico que trabaja en el laboratorio inicia un nuevo experimento.,,audio/sentence_3.wav
authorisation,experimental,off,Un turista pasa por delante del laboratorio de camino al museo de cera.,15.38%,0.00%,,,257.7689,0.068973,64055.02,0.711433,0,0,congruent,A careless member of the public caused an accident in a scientific laboratory.,"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".",A tourist walks past the laboratory on his way to the wax museum.,65,Un ciudadano descuidado provocó un accidente en un laboratorio científico.,"Para evitar accidentes, el director del laboratorio estableció la siguiente regla: ""Acceso exclusivo para el personal del laboratorio"".",Un turista pasa por delante del laboratorio de camino al museo de cera.,,audio/sentence_4.wav
authorisation,experimental,off,Una vecina pasa por delante del laboratorio de camino a casa.,8.97%,0.00%,,,260.5099,0.068973,75844.35,0.711433,0,0,congruent,A careless member of the public caused an accident in a scientific laboratory.,"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".",A member of the public walks past the laboratory while going home.,66,Un ciudadano descuidado provocó un accidente en un laboratorio científico.,"Para evitar accidentes, el director del laboratorio estableció la siguiente regla: ""Acceso exclusivo para el personal del laboratorio"".",Una vecina pasa por delante del laboratorio de camino a casa.,,audio/sentence_5.wav
authorisation,experimental,over,Un científico recién jubilado vuelve a recoger su maletín.,24.36%,25.68%,,,371.4269,0.068973,91666.26,0.711433,1,0,incongruent,A careless member of the public caused an accident in a scientific laboratory.,"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".",A recently retired scientist returns to collect his briefcase.,62,Un ciudadano descuidado provocó un accidente en un laboratorio científico.,"Para evitar accidentes, el director del laboratorio estableció la siguiente regla: ""Acceso exclusivo para el personal del laboratorio"".",Un científico recién jubilado vuelve a recoger su maletín.,,audio/sentence_6.wav
authorisation,experimental,over,Un técnico especializado entra en el laboratorio para hablar de una oferta de trabajo.,41.03%,41.79%,,,402.621,0.068973,100806.4,0.711433,1,0,incongruent,A careless member of the public caused an accident in a scientific laboratory.,"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".",A skilled technician enters the lab to discuss a job opening.,61,Un ciudadano descuidado provocó un accidente en un laboratorio científico.,"Para evitar accidentes, el director del laboratorio estableció la siguiente regla: ""Acceso exclusivo para el personal del laboratorio"".",Un técnico especializado entra en el laboratorio para hablar de una oferta de trabajo.,,audio/sentence_7.wav
authorisation,experimental,over,Una científica jubilada visita el laboratorio para dar consejos a los recién contratados.,34.62%,37.50%,,,324.9158,0.068973,70910.38,0.711433,1,0,incongruent,A careless member of the public caused an accident in a scientific laboratory.,"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".",A retired scientist visits the lab to offer advice to new hirees.,65,Un ciudadano descuidado provocó un accidente en un laboratorio científico.,"Para evitar accidentes, el director del laboratorio estableció la siguiente regla: ""Acceso exclusivo para el personal del laboratorio"".",Una científica jubilada visita el laboratorio para dar consejos a los recién contratados.,,audio/sentence_8.wav
authorisation,experimental,under,Un científico del laboratorio realiza una tarea arriesgada mientras se siente mareado y cansado.,19.23%,21.43%,,,391.1453,0.068973,98352.09,0.711433,0,1,incongruent,A careless member of the public caused an accident in a scientific laboratory.,"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".",A lab scientist performs a risky task while feeling dizzy and tired.,68,Un ciudadano descuidado provocó un accidente en un laboratorio científico.,"Para evitar accidentes, el director del laboratorio estableció la siguiente regla: ""Acceso exclusivo para el personal del laboratorio"".",Un científico del laboratorio realiza una tarea arriesgada mientras se siente mareado y cansado.,,audio/sentence_9.wav
